1,1
1,2
1,3
1,4
1,5
1,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
4,28
4,29
4,30
4,31
5,32
5,33
6,34
7,35
8,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,44
9,45
9,46
9,47
9,48
9,49
9,50
9,51
10,52
10,53
10,54
10,55
10,56
11,57
12,58
12,59
13,60
13,61
13,62
13,63
13,64
13,65
13,66
13,67
13,68
14,69
15,70
15,71
16,72
16,73
16,74
16,75
17,76
17,77
39,78
18,79
19,80
20,81
35,82
21,83
21,84
21,85
22,86
22,87
22,88
25,89
26,90
26,91
27,92
28,93
29,94
30,95
31,96
23,97
24,98
31,99
32,100
33,101
33,102
33,103
34,104
35,105
36,106
37,107
37,108
38,109
39,110
