SEKTOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,180,301,302,303,304,305,307,308,309,310,407,408,409,501,503,509,600,700
1,361952.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1143.00,0.00,1217.00,0.00,2442.00,480.00,0.00,213.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2815033.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3182479.00,0.00,0.00,0.00,5549608.00,0.00,1667573.00,1667573.00,7217181.00,10399660.00,0.00,139640.00,139640.00,0.00,0.00,0.00,10260019.00,10399659.00
2,0.00,149009.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5064.00,0.00,2489.00,7450.00,8566.00,79.00,34539.00,526.00,0.00,0.00,0.00,0.00,0.00,80.00,580.00,205.00,0.00,0.00,0.00,0.00,7228.00,1794.00,684.00,2476.00,21811.00,0.00,5498.00,528176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29754.00,146578.00,0.00,0.00,0.00,0.00,0.00,321.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1210.00,0.00,0.00,954116.00,445155.00,0.00,0.00,186367.00,0.00,2020555.00,2020555.00,2652076.00,3606192.00,0.00,6380.00,6380.00,0.00,0.00,0.00,3599811.00,3606192.00
3,0.00,0.00,114167.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1695.00,0.00,933.00,0.00,0.00,288.00,0.00,197.00,0.00,0.00,0.00,0.00,0.00,39.00,279.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6183.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10039.00,137235.00,0.00,0.00,0.00,0.00,0.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,483.00,0.00,0.00,271724.00,207666.00,0.00,0.00,125615.00,0.00,646186.00,646186.00,979467.00,1251191.00,0.00,3693.00,3693.00,0.00,0.00,0.00,1247498.00,1251191.00
4,0.00,0.00,0.00,14341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148286.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6114.00,74021.00,0.00,0.00,0.00,0.00,0.00,176.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,711.00,127.00,0.00,0.00,243775.00,52271.00,0.00,0.00,58189.00,0.00,506861.00,506861.00,617322.00,861097.00,0.00,522.00,522.00,0.00,0.00,0.00,860574.00,861097.00
5,0.00,0.00,0.00,0.00,85848.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,268.00,0.00,239.00,0.00,0.00,5.00,1829.00,31.00,0.00,0.00,0.00,0.00,0.00,31.00,217.00,0.00,0.00,0.00,0.00,0.00,950.00,0.00,0.00,0.00,4665.00,0.00,2781.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11541.00,719613.00,0.00,0.00,0.00,0.00,56.00,853.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1940.00,14175.00,0.00,0.00,845044.00,1644621.00,0.00,0.00,0.00,0.00,1118578.00,1118578.00,2763199.00,3608243.00,0.00,2108655.00,2108655.00,0.00,0.00,0.00,1499588.00,3608243.00
6,0.00,0.00,0.00,0.00,0.00,79657.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,887.00,0.00,669.00,0.00,655.00,139.00,6047.00,103.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25090.00,0.00,0.00,0.00,25074.00,0.00,3402.00,0.00,101.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2744.00,814837.00,0.00,0.00,0.00,0.00,115.00,660.00,596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1683.00,14048.00,0.00,0.00,1001166.00,3018010.00,0.00,0.00,202985.00,0.00,2311841.00,2311841.00,5532835.00,6534002.00,0.00,2153007.00,2153007.00,0.00,0.00,0.00,4380995.00,6534002.00
7,0.00,0.00,0.00,0.00,0.00,0.00,23453.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1275.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1292.00,56237.00,0.00,0.00,0.00,0.00,10.00,217.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,499.00,942.00,0.00,0.00,83957.00,616194.00,0.00,0.00,20763.00,0.00,92974.00,92974.00,729931.00,813888.00,0.00,420112.00,420112.00,0.00,0.00,0.00,393775.00,813888.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63393.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.00,0.00,799.00,0.00,629.00,278.00,0.00,542.00,0.00,0.00,0.00,0.00,0.00,2.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,452.00,0.00,0.00,811.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,926.00,32638.00,0.00,0.00,0.00,0.00,49.00,488.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.00,3401.00,0.00,0.00,104791.00,1294938.00,0.00,0.00,0.00,0.00,0.00,0.00,1294938.00,1399729.00,0.00,395901.00,395901.00,0.00,0.00,0.00,1003828.00,1399729.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20294.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,0.00,272.00,0.00,231.00,11.00,691.00,224.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,295.00,0.00,0.00,169.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,7796.00,0.00,0.00,0.00,0.00,0.00,261.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.00,1820.00,0.00,0.00,32542.00,741238.00,0.00,0.00,0.00,0.00,0.00,0.00,741238.00,773780.00,0.00,275340.00,275340.00,0.00,0.00,0.00,498440.00,773780.00
