SEKTOR,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,180,301,302,303,304,305 LN,307 AP,309,310,407 LN,408 AP,409,501,503,509,600,700
1,931165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94847.00,4285.00,10791.00,410.00,15582.00,467.00,4.00,299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9657451.00,0.00,0.00,0.00,0.00,182.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82008.00,0.00,0.00,0.00,0.00,825.00,0.00,0.00,0.00,0.00,26228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9152.00,0.00,0.00,0.00,782.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1299.00,0.00,0.00,3206.00,0.00,0.00,0.00,10838984.00,0.00,0.00,0.00,1634908.00,0.00,6304256.00,7939163.00,18778147.00,0.00,210149.00,210149.00,0.00,0.00,0.00,18567998.00,18778147.00
2,0.00,224335.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13965.00,631.00,1589.00,6868.00,57715.00,7830.00,64.00,176.00,0.00,0.00,0.00,0.00,47827.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,14509.00,0.00,0.00,104877.00,1036.00,273.00,96390.00,69612.00,104.00,18.00,46654.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5361.00,49727.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5920.00,0.00,2574.00,1158.00,0.00,0.00,0.00,759232.00,3181363.00,0.00,0.00,881728.00,0.00,2277253.00,6340344.00,7099576.00,0.00,9602.00,9602.00,0.00,0.00,0.00,7089974.00,7099576.00
3,0.00,0.00,55633.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7315.00,330.00,832.00,699.00,9213.00,797.00,7.00,92.00,0.00,0.00,0.00,0.00,1579.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63453.00,66.00,0.00,9969.00,10374.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1499.00,117696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2745.00,0.00,385.00,3281.00,0.00,0.00,0.00,285965.00,1800288.00,0.00,0.00,-67117.00,0.00,863776.00,2596946.00,2882911.00,0.00,5558.00,5558.00,0.00,0.00,0.00,2877353.00,2882911.00
4,0.00,0.00,0.00,7656.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18213.00,823.00,2072.00,0.00,10584.00,0.00,0.00,230.00,0.00,0.00,0.00,0.00,163.00,0.00,0.00,0.00,0.00,0.00,85.00,1510.00,317.00,0.00,0.00,0.00,1235.00,19.00,0.00,6972.00,5248.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7358.00,278211.00,0.00,0.00,0.00,0.00,2306.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32485.00,0.00,1321.00,471.00,0.00,0.00,0.00,377287.00,249200.00,0.00,0.00,246360.00,0.00,122999.00,618559.00,995846.00,0.00,632238.00,632238.00,0.00,0.00,0.00,363608.00,995846.00
5,0.00,0.00,0.00,0.00,75352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2059.00,93.00,234.00,0.00,3080.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.00,0.00,0.00,114.00,0.00,0.00,0.00,1808.00,0.00,19756.00,3104.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1077.00,47530.00,0.00,0.00,0.00,0.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5892.00,0.00,454.00,130.00,0.00,0.00,0.00,161206.00,1895199.00,0.00,0.00,63683.00,0.00,199333.00,2158215.00,2319421.00,0.00,595802.00,595802.00,0.00,0.00,0.00,1723620.00,2319421.00
6,0.00,0.00,0.00,0.00,0.00,51272.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4502.00,203.00,512.00,159.00,2191.00,181.00,1.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96078.00,0.00,0.00,0.00,0.00,192869.00,2213.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,15545.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,366159.00,170135.00,0.00,0.00,89703.00,0.00,497929.00,757766.00,1123925.00,0.00,786.00,786.00,0.00,0.00,0.00,1123139.00,1123925.00
7,0.00,0.00,0.00,0.00,0.00,0.00,82886.00,865.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1273.00,57.00,145.00,13.00,841.00,15.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,3.00,0.00,4932.00,0.00,125.00,0.00,0.00,11008.00,3655.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,469.00,32320.00,0.00,0.00,0.00,0.00,87.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1938.00,0.00,178.00,199.00,0.00,0.00,0.00,141077.00,765774.00,0.00,0.00,-47149.00,0.00,1260361.00,1978986.00,2120063.00,0.00,4366.00,4366.00,0.00,0.00,0.00,2115697.00,2120063.00
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,113615.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20917.00,945.00,2380.00,241.00,0.00,274.00,2.00,264.00,0.00,0.00,0.00,0.00,260.00,0.00,0.00,0.00,0.00,0.00,99.00,73.00,3577.00,0.00,0.00,0.00,72.00,327.00,0.00,3908.00,362.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20878.00,957150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99407.00,0.00,93758.00,4431.00,0.00,0.00,0.00,1323438.00,5835093.00,0.00,0.00,-87120.00,0.00,1201973.00,6949945.00,8273384.00,0.00,3173368.00,3173368.00,0.00,0.00,0.00,5100015.00,8273384.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,722.00,1511.00,2642.00,53068.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,776.00,0.00,14448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2468.00,6236.00,322302.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49678.00,41.00,21682.00,12564.00,0.00,0.00,0.00,488257.00,110870.00,0.00,0.00,18641.00,0.00,143185.00,272696.00,760953.00,0.00,0.00,0.00,0.00,0.00,0.00,760953.00,760953.00
