1,1
2,2
5,3
5,4
4,5
3,6
5,7
7,8
5,9
5,10
5,11
5,12
12,13
6,14
8,15
46,16
9,17
10,18
11,19
5,20
5,21
5,22
5,23
5,24
14,25
15,26
16,27
17,28
19,29
20,30
17,31
17,32
22,33
23,34
18,35
24,36
25,37
47,38
47,39
26,40
47,41
27,42
27,43
27,44
28,45
29,46
29,47
1,48
27,49
30,50
31,51
27,52
32,53
33,54
35,55
34,56
36,57
36,58
36,59
44,60
36,61
13,62
21,63
21,64
36,65
45,66
43,67
36,68
36,69
36,70
36,71
36,72
36,73
36,74
36,75
36,76
36,77
36,78
36,79
36,80
36,81
36,82
36,83
36,84
38,85
38,86
39,87
40,88
37,89
37,90
41,91
41,92
41,93
41,94
41,95
41,96
41,97
41,98
37,99
42,100
42,101
37,102
37,103
37,104
37,105
37,106
37,107
37,108
37,109
37,110
